Time,com.sun.xml.bind.v2.model.impl.ElementPropertyInfoImpl$1 Data
0,13095
1,1422
2,319
3,27472
4,1422
5,319
6,27472
7,1422
8,319
9,27472
10,1422
11,319
12,27472
13,1422
14,319
15,27472
16,1422
17,319
18,27472
19,1422
20,319
21,27472
22,1422
23,319
24,27472
25,1422
26,319
27,27472
28,1422
29,319
30,27472
31,1422
32,319
33,27472
34,1422
35,319
36,27472
37,1422
38,319
39,27472
40,1422
41,319
42,27472
43,1422
44,319
45,27472
46,1422
47,319
48,27472
49,1422
50,319
51,27472
52,1422
53,319
54,27472
55,1422
56,319
57,27472
58,1422
59,319
60,27472
61,1422
62,319
63,27472
64,1422
65,319
66,27472
67,1422
68,319
69,27472
70,1422
71,319
72,27472
73,1422
74,319
75,27472
76,1422
77,319
78,27472
79,1422
80,319
81,27472
82,1422
83,319
84,27472
85,1422
86,319
87,27472
88,1422
89,319
90,27472
91,1422
92,319
93,27472
94,1422
95,319
96,27472
97,1422
98,319
99,27472
100,1422
101,319
102,27472
103,1422
104,319
105,27472
106,1422
107,319
108,27472
109,1422
110,319
111,27472
112,1422
113,319
114,27472
115,1422
116,319
117,27472
118,1422
119,319
120,27472
121,1422
122,319
123,27472
124,1422
125,319
126,27472
127,1422
128,319
129,27472
130,1422
131,319
132,27472
133,1422
134,319
135,27472
136,1422
137,319
138,27472
139,1422
140,319
141,27472
142,1422
143,319
144,27472
145,1422
146,319
147,27472
148,1422
149,319
150,27472
151,1422
152,319
153,27472
154,1422
155,319
156,27472
157,1422
158,319
159,27472
160,1422
161,319
162,27472
163,1422
164,319
165,27472
166,1422
167,319
168,27472
169,1422
170,319
171,27472
172,1422
173,319
174,27472
175,1422
176,319
177,27472
178,1422
179,319
180,27472
181,1422
182,319
183,27472
184,1422
185,319
186,27472
187,1422
188,319
189,27472
190,1422
191,319
192,27472
193,1422
194,319
195,27472
196,1422
197,319
198,27472
199,1422
200,319
201,27472
202,1422
203,319
204,27472
205,1422
206,319
207,27472
208,1422
209,319
210,27472
211,1422
212,319
213,27472
214,1422
215,319
216,27472
217,1422
218,319
219,27472
220,1422
221,319
222,27472
223,1422
224,319
225,27472
226,1422
227,319
228,27472
229,1422
230,319
231,27472
232,1422
233,319
234,27472
235,1422
236,319
237,27472
238,1422
239,319
240,27472
241,1422
242,319
243,27472
244,1422
245,319
246,27472
247,1422
248,319
249,27472
250,1422
251,319
252,27472
253,1422
254,319
255,27472
256,1422
257,319
258,27472
259,1422
260,319
261,27472
262,1422
263,319
264,27472
265,1422
266,319
267,27472
268,1422
269,319
270,27472
271,1422
272,319
273,27472
274,1422
275,319
276,27472
277,1422
278,319
279,27472
280,1422
281,319
282,27472
283,1422
284,319
285,27472
286,1422
287,319
288,27472
289,1422
290,319
291,27472
292,1422
293,319
294,27472
295,1422
296,319
297,27472
298,1422
299,319
300,27472
301,1422
302,319
303,27472
304,1422
305,319
306,27472
307,1422
308,319
309,27472
310,1422
311,319
312,27472
313,1422
314,319
315,27472
316,1422
317,319
318,27472
319,1422
320,319
321,27472
322,1422
323,319
324,27472
325,1422
326,319
327,27472
328,1422
329,319
330,27472
331,1422
332,319
333,27472
334,1422
335,319
336,27472
337,1422
338,319
339,27472
340,1422
341,319
342,27472
343,1422
344,319
345,27472
346,1422
347,319
348,27472
349,1422
350,319
351,27472
352,1422
353,319
354,27472
355,1422
356,319
357,27472
358,1422
359,319
360,27472
361,1422
362,319
363,27472
364,1422
365,319
366,27472
367,1422
368,319
369,27472
370,1422
371,319
372,27472
373,1422
374,319
375,27472
376,1422
377,319
378,27472
379,1422
380,319
381,27472
382,1422
383,319
384,27472
385,1422
386,319
387,27472
388,1422
389,319
390,27472
391,1422
392,319
393,27472
394,1422
395,319
396,27472
397,1422
398,319
399,27472
400,1422
401,319
402,27472
403,1422
404,319
405,27472
406,1422
407,319
408,27472
409,1422
410,319
411,27472
412,1422
413,319
414,27472
415,1422
416,319
417,27472
418,1422
419,319
420,27472
421,1422
422,319
423,27472
424,1422
425,319
426,27472
427,1422
428,319
429,27472
430,1422
431,319
432,27472
433,1422
434,319
435,27472
436,1422
437,319
438,27472
439,1422
440,319
441,27472
442,1422
443,319
444,27472
445,1422
446,319
447,27472
448,1422
449,319
450,27472
451,1422
452,319
453,27472
454,1422
455,319
456,27472
457,1422
458,319
459,27472
460,1422
461,319
462,27472
463,1422
464,319
465,27472
466,1422
467,319
468,27472
469,1422
470,319
471,27472
472,1422
473,319
474,27472
475,1422
476,319
477,27472
478,1422
479,319
480,27472
481,1422
482,319
483,27472
484,1422
485,319
486,27472
487,1422
488,27472
489,1422
490,319
491,27472
492,1422
493,319
494,27472
495,1422
496,319
497,27472
498,1422
499,319
500,27472
501,1422
502,319
503,27472
504,1422
505,319
506,27472
507,1422
508,319
509,27472
510,1422
511,319
512,27472
513,1422
514,319
515,27472
516,1422
517,319
518,27472
519,1422
520,319
521,27472
522,1422
523,319
524,27472
525,1422
526,27472
527,1422
528,319
529,27472
530,1422
531,319
532,27472
533,1422
534,319
535,27472
536,1422
537,319
538,27472
539,1422
540,319
541,27472
542,1422
543,319
544,27472
545,1422
546,319
547,27472
548,1422
549,319
550,27472
551,1422
552,319
553,27472
554,1422
555,319
556,27472
557,1422
558,319
559,27472
560,1422
561,319
562,27472
563,1422
564,319
565,27472
566,1422
567,319
568,27472
569,1422
570,319
571,27472
572,1422
573,319
574,27472
575,1422
576,319
577,27472
578,1422
579,319
580,27472
581,1422
582,319
583,27472
584,1422
585,319
586,27472
587,1422
588,319
589,27472
590,1422
591,319
592,27472
593,1422
594,319
595,27472
596,1422
597,319
598,27472
599,1422
600,319
601,27472
602,1422
603,319
604,27472
605,1422
606,319
607,27472
608,1422
609,319
610,27472
611,1422
612,319
613,27472
614,1422
